Study,Author,Biome,Ecosystem_type,Ecosystem_state,Study_midyear,YearsOfData,CO2_method,Rs_annual,LU_AT,LU_AP,LU_MAT,LU_MAP,LU_LAI,LU_NDEP,T_anomaly,P_anomaly
2877,Bolstad,Temperate,Forest,Natural,1997,1,IRGA,1250,13.22,1693.6,13.54,1549.76,4.1,1032.109985,-0.32,143.84
2877,Bolstad,Temperate,Forest,Natural,1997,1,IRGA,1240,13.22,1693.6,13.54,1549.76,4.1,1032.109985,-0.32,143.84
2877,Bolstad,Temperate,Forest,Natural,1997,1,IRGA,1220,13.22,1693.6,13.54,1549.76,4.1,1032.109985,-0.32,143.84
2877,Bolstad,Temperate,Forest,Natural,1997,1,IRGA,1320,13.22,1693.6,13.54,1549.76,4.1,1032.109985,-0.32,143.84
2877,Bolstad,Temperate,Grassland,Managed,1997,1,IRGA,1000,13.22,1693.6,13.54,1549.76,4.1,1032.109985,-0.32,143.84
2877,Bolstad,Temperate,Grassland,Managed,1997,1,IRGA,1170,13.22,1693.6,13.54,1549.76,4.1,1032.109985,-0.32,143.84
2877,Bolstad,Temperate,Grassland,Managed,1997,1,IRGA,1030,13.22,1693.6,13.54,1549.76,4.1,1032.109985,-0.32,143.84
2877,Bolstad,Temperate,Grassland,Managed,1997,1,IRGA,1180,13.22,1693.6,13.54,1549.76,4.1,1032.109985,-0.32,143.84
2293,Grünzweig,Temperate,Forest,Managed,2000.5,1,IRGA,192,21.2,176.1,20.82,181.82,0.7,129.630005,0.38,-5.72
2396,O'Connell,Boreal,Forest,Natural,1998.5,2,IRGA,564,2.125,476.5,0.27,437.29,4.9,381.380005,1.855,39.21
2396,O'Connell,Boreal,Forest,Natural,1998.5,2,IRGA,319,2.125,476.5,0.27,437.29,4.9,381.380005,1.855,39.21
1925,Widén,Boreal,Forest,Natural,1999,1,IRGA,98,5.47,533.2,4.42,558.52,4.5,775.47998,1.05,-25.32
1925,Widén,Boreal,Forest,Natural,1999,1,IRGA,149,5.47,533.2,4.42,558.52,4.5,775.47998,1.05,-25.32
2037,Irvine,Temperate,Forest,Unmanaged,1999,1,IRGA,519,5.01,1257.7,5.16,1246.05,2.6,201.529999,-0.15,11.65
2037,Irvine,Temperate,Forest,Natural,1999,1,IRGA,499,2.79,1114.1,2.98,1068.61,2.6,201.529999,-0.19,45.49
2037,Irvine,Temperate,Forest,Unmanaged,2000,1,IRGA,427,4.87,998,5.16,1246.05,2.6,201.529999,-0.29,-248.05
2037,Irvine,Temperate,Forest,Natural,2000,1,IRGA,597,2.72,850.6,2.98,1068.61,2.6,201.529999,-0.26,-218.01
2037,Irvine,Temperate,Forest,Unmanaged,2001,1,IRGA,505,5.17,1036.6,5.16,1246.05,2.6,201.529999,0.01,-209.45
2037,Irvine,Temperate,Forest,Natural,2001,1,IRGA,483,3.02,933,2.98,1068.61,2.6,201.529999,0.04,-135.61
1470,Law,Temperate,Forest,Natural,1996.5,1,IRGA,683,3.195,1354.25,2.98,1068.61,2.6,201.529999,0.215,285.64
4181,Malhi,Boreal,Forest,Natural,1999,1,None,592,2.19,478.2,0.27,437.29,4.9,381.380005,1.92,40.91
4181,Malhi,Temperate,Forest,Natural,1999,1,None,753,15.53,1313,14.56,1283.2,3.8,1388.01001,0.97,29.8
4181,Malhi,Tropical,Forest,Natural,1999,1,None,1650,27.18,2365.7,26.4,2512.98,5.5,331.850006,0.78,-147.28
4180,Megonigal,Temperate,Wetland,Natural,2002,1,,1135,15.22,1002.2,13.97,1109.47,4.2,837.200012,1.25,-107.27
1600,Gaudinski,Temperate,Forest,Natural,1996,1,IRGA,840,6.78,1328.2,7.7,1083.22,3.7,756.47998,-0.92,244.98
1794,Högberg,Boreal,Forest,Natural,2000,1,Mass spectrometer,275,2.95,600.5,1.55,563.14,4.8,573.590027,1.4,37.36
1185,Hungate,Temperate,Grassland,Natural,1994,1,Gas chromotography,323,12.33,528,12.5,581.86,0.9,538.330017,-0.17,-53.86
1823,Kutsch,Temperate,Forest,Natural,1992,1,IRGA,1754,9.43,525,8.21,713.91,3.7,2100.72998,1.22,-188.91
1078,Lamade,Tropical,Forest,Managed,1993,1,IRGA,1610,27.15,1105.5,27.12,1123.52,2.3,566.210022,0.03,-18.02
1639,Maier,Temperate,Forest,Managed,1995.5,1,IRGA,1263,16.485,1323.05,16.37,1186.9,3.8,720.690002,0.115,136.15
1232,Ryan,Boreal,Forest,Natural,1994,1,IRGA,338,0.19,449.3,0.17,444.5,4.7,381.380005,0.02,4.8
1232,Ryan,Boreal,Forest,Natural,1994,1,IRGA,905,-0.3,424.8,-0.43,443.91,5,381.380005,0.13,-19.11
1232,Ryan,Boreal,Forest,Natural,1994,1,IRGA,564,0.31,464.1,0.27,437.29,4.9,381.380005,0.04,26.81
3845,Gough,Temperate,Forest,Natural,2004,1,IRGA,675,5.63,738.5,5.19,769.96,4,1202.319946,0.44,-31.46
3845,Gough,Temperate,Forest,Natural,2004,1,IRGA,782,5.63,738.5,5.19,769.96,4,1202.319946,0.44,-31.46
3845,Gough,Temperate,Forest,Natural,2004,1,IRGA,782,5.63,738.5,5.19,769.96,4,1202.319946,0.44,-31.46
3845,Gough,Temperate,Forest,Natural,2004,1,IRGA,1090,5.63,738.5,5.19,769.96,4,1202.319946,0.44,-31.46
3845,Gough,Temperate,Forest,Natural,2004,1,IRGA,930,5.63,738.5,5.19,769.96,4,1202.319946,0.44,-31.46
3413,Khomik,Boreal,Forest,Natural,2003.5,1,IRGA,911,0.9,738.05,0.66,761.04,5,385.329987,0.24,-22.99
3413,Khomik,Boreal,Forest,Natural,2004.5,1,IRGA,918,1.605,661.75,0.66,761.04,5,385.329987,0.945,-99.29
4072,Schindlbacher,Temperate,Forest,Natural,2005.5,1,IRGA,525,8.51,1482.05,8.78,1337.57,3.6,1890.569946,-0.27,144.48
2129,Rey,Temperate,Forest,Managed,2000,1,IRGA,1097,16.72,749.8,15.19,803.06,2.6,581.099976,1.53,-53.26
1665,Ohashi,Temperate,Forest,Managed,1997,2,IRGA,618,17.0275,1883.425,16.52,1840.1,3.1,833.049988,0.5075,43.325
1382,Russell,Boreal,Forest,Natural,1994,1,IRGA,905,-0.3,424.8,-0.43,443.91,5,381.380005,0.13,-19.11
2427,Ruess,Boreal,Forest,Natural,1998,2,IRGA,580,-2.495,222,-2.71,309.92,3.9,59.119999,0.215,-87.92
2427,Ruess,Boreal,Forest,Natural,1998,2,IRGA,580,-2.495,222,-2.71,309.92,3.9,59.119999,0.215,-87.92
2427,Ruess,Boreal,Forest,Natural,1998,2,IRGA,580,-2.495,222,-2.71,309.92,3.9,59.119999,0.215,-87.92
2427,Ruess,Boreal,Forest,Natural,1998,2,IRGA,580,-2.495,222,-2.71,309.92,3.9,59.119999,0.215,-87.92
2427,Ruess,Boreal,Forest,Natural,1998,2,IRGA,580,-2.495,222,-2.71,309.92,3.9,59.119999,0.215,-87.92
2427,Ruess,Boreal,Forest,Natural,1998,2,IRGA,580,-2.495,222,-2.71,309.92,3.9,59.119999,0.215,-87.92
1343,Larionova,Temperate,Forest,Unmanaged,1992.5,1,Soil profile,380,4.85,659.7,4.48,613.17,3.4,885.030029,0.37,46.53
1343,Larionova,Temperate,Grassland,Managed,1992.5,1,Soil profile,190,4.85,659.7,4.48,613.17,3.4,885.030029,0.37,46.53
1343,Larionova,Temperate,Forest,Unmanaged,1992.5,1,Gas chromotography,640,4.85,659.7,4.48,613.17,3.4,885.030029,0.37,46.53
1343,Larionova,Temperate,Grassland,Managed,1992.5,1,Gas chromotography,475,4.85,659.7,4.48,613.17,3.4,885.030029,0.37,46.53
1891,Savage,Temperate,Forest,Natural,1995,1,IRGA,750,6.93,1083.4,7.7,1083.22,4.1,756.47998,-0.77,0.18
1891,Savage,Temperate,Forest,Natural,1995,1,IRGA,710,6.93,1083.4,7.7,1083.22,4.1,756.47998,-0.77,0.18
1891,Savage,Temperate,Forest,Natural,1995,1,IRGA,701,6.93,1083.4,7.7,1083.22,4.1,756.47998,-0.77,0.18
1891,Savage,Temperate,Forest,Natural,1995,1,IRGA,670,6.93,1083.4,7.7,1083.22,4.1,756.47998,-0.77,0.18
1891,Savage,Temperate,Forest,Natural,1995,1,IRGA,550,6.93,1083.4,7.7,1083.22,4.1,756.47998,-0.77,0.18
1891,Savage,Temperate,Forest,Natural,1996,1,IRGA,790,6.78,1328.2,7.7,1083.22,4.1,756.47998,-0.92,244.98
1891,Savage,Temperate,Forest,Natural,1996,1,IRGA,790,6.78,1328.2,7.7,1083.22,4.1,756.47998,-0.92,244.98
1891,Savage,Temperate,Forest,Natural,1996,1,IRGA,750,6.78,1328.2,7.7,1083.22,4.1,756.47998,-0.92,244.98
1891,Savage,Temperate,Forest,Natural,1996,1,IRGA,780,6.78,1328.2,7.7,1083.22,4.1,756.47998,-0.92,244.98
1891,Savage,Temperate,Forest,Natural,1996,1,IRGA,400,6.78,1328.2,7.7,1083.22,4.1,756.47998,-0.92,244.98
1891,Savage,Temperate,Forest,Natural,1996,1,IRGA,820,6.07,1173.8,5.51,1034.19,4,768.460022,0.56,139.61
1891,Savage,Temperate,Forest,Natural,1996,1,IRGA,740,6.07,1173.8,5.51,1034.19,4,768.460022,0.56,139.61
1891,Savage,Temperate,Forest,Natural,1996,1,IRGA,500,6.07,1173.8,5.51,1034.19,4,768.460022,0.56,139.61
1891,Savage,Temperate,Forest,Natural,1996,1,IRGA,460,6.07,1173.8,5.51,1034.19,4,768.460022,0.56,139.61
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,640,6.58,927.8,7.7,1083.22,4.1,756.47998,-1.12,-155.42
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,630,6.58,927.8,7.7,1083.22,4.1,756.47998,-1.12,-155.42
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,700,6.58,927.8,7.7,1083.22,4.1,756.47998,-1.12,-155.42
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,570,6.58,927.8,7.7,1083.22,4.1,756.47998,-1.12,-155.42
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,370,6.58,927.8,7.7,1083.22,4.1,756.47998,-1.12,-155.42
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,800,5.33,746.8,5.51,1034.19,4,768.460022,-0.18,-287.39
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,680,5.33,746.8,5.51,1034.19,4,768.460022,-0.18,-287.39
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,540,5.33,746.8,5.51,1034.19,4,768.460022,-0.18,-287.39
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,470,5.33,746.8,5.51,1034.19,4,768.460022,-0.18,-287.39
1891,Savage,Temperate,Forest,Natural,1997,1,IRGA,370,5.33,746.8,5.51,1034.19,4,768.460022,-0.18,-287.39
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,940,8.28,942.2,7.7,1083.22,4.1,756.47998,0.58,-141.02
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,990,8.28,942.2,7.7,1083.22,4.1,756.47998,0.58,-141.02
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,810,8.28,942.2,7.7,1083.22,4.1,756.47998,0.58,-141.02
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,710,8.28,942.2,7.7,1083.22,4.1,756.47998,0.58,-141.02
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,400,8.28,942.2,7.7,1083.22,4.1,756.47998,0.58,-141.02
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,890,6.88,952.8,5.51,1034.19,4,768.460022,1.37,-81.39
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,840,6.88,952.8,5.51,1034.19,4,768.460022,1.37,-81.39
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,680,6.88,952.8,5.51,1034.19,4,768.460022,1.37,-81.39
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,550,6.88,952.8,5.51,1034.19,4,768.460022,1.37,-81.39
1891,Savage,Temperate,Forest,Natural,1998,1,IRGA,410,6.88,952.8,5.51,1034.19,4,768.460022,1.37,-81.39
1891,Savage,Temperate,Forest,Natural,1999,1,IRGA,620,8.05,1001.3,7.7,1083.22,4.1,756.47998,0.35,-81.92
1891,Savage,Temperate,Forest,Natural,1999,1,IRGA,440,8.05,1001.3,7.7,1083.22,4.1,756.47998,0.35,-81.92
1891,Savage,Temperate,Forest,Natural,1999,1,IRGA,460,8.05,1001.3,7.7,1083.22,4.1,756.47998,0.35,-81.92
1891,Savage,Temperate,Forest,Natural,1999,1,IRGA,410,8.05,1001.3,7.7,1083.22,4.1,756.47998,0.35,-81.92
1891,Savage,Temperate,Forest,Natural,1999,1,IRGA,900,7.44,1091.5,5.51,1034.19,4,768.460022,1.93,57.31
1891,Savage,Temperate,Forest,Natural,1999,1,IRGA,830,7.44,1091.5,5.51,1034.19,4,768.460022,1.93,57.31
1891,Savage,Temperate,Forest,Natural,1999,1,IRGA,660,7.44,1091.5,5.51,1034.19,4,768.460022,1.93,57.31
1891,Savage,Temperate,Forest,Natural,1999,1,IRGA,540,7.44,1091.5,5.51,1034.19,4,768.460022,1.93,57.31
1891,Savage,Temperate,Forest,Natural,1999,1,IRGA,490,7.44,1091.5,5.51,1034.19,4,768.460022,1.93,57.31
1123,Thierron,Temperate,Forest,Managed,1989,1,IRGA,2018,10.12,867.8,8.8,912.97,3.6,1862.900024,1.32,-45.17
2532,Bolstad,Temperate,Forest,Natural,1999,1,IRGA,867,6.05,837.5,4.98,833.31,4.1,1679.310059,1.07,4.19
2532,Bolstad,Temperate,Forest,Natural,1999,1,IRGA,1097,6.05,837.5,4.98,833.31,4.1,1679.310059,1.07,4.19
2532,Bolstad,Temperate,Forest,Natural,1999,1,IRGA,878,6.05,837.5,4.98,833.31,4.1,1679.310059,1.07,4.19
2532,Bolstad,Temperate,Forest,Natural,2000,1,IRGA,903,5.09,814.2,4.98,833.31,4.1,1679.310059,0.11,-19.11
2532,Bolstad,Temperate,Forest,Natural,2000,1,IRGA,1131,5.09,814.2,4.98,833.31,4.1,1679.310059,0.11,-19.11
2532,Bolstad,Temperate,Forest,Natural,2000,1,IRGA,905,5.09,814.2,4.98,833.31,4.1,1679.310059,0.11,-19.11
2532,Bolstad,Temperate,Forest,Natural,2001,1,IRGA,970,6.03,852.6,4.98,833.31,4.1,1679.310059,1.05,19.29
2532,Bolstad,Temperate,Forest,Natural,2001,1,IRGA,1194,6.03,852.6,4.98,833.31,4.1,1679.310059,1.05,19.29
2532,Bolstad,Temperate,Forest,Natural,2001,1,IRGA,952,6.03,852.6,4.98,833.31,4.1,1679.310059,1.05,19.29
2532,Bolstad,Temperate,Forest,Natural,2002,1,IRGA,809,5.27,935.9,4.98,833.31,4.1,1679.310059,0.29,102.59
2532,Bolstad,Temperate,Forest,Natural,2002,1,IRGA,1043,5.27,935.9,4.98,833.31,4.1,1679.310059,0.29,102.59
2532,Bolstad,Temperate,Forest,Natural,2002,1,IRGA,837,5.27,935.9,4.98,833.31,4.1,1679.310059,0.29,102.59
2150,Shibistova,Boreal,Forest,Natural,1999,1,IRGA,281,-3.44,470.8,-3.75,517.02,3.1,136.529999,0.31,-46.22
2150,Shibistova,Boreal,Forest,Natural,2000,1,IRGA,277,-4.27,615.5,-3.75,517.02,3.1,136.529999,-0.52,98.48
3653,Wang,Temperate,Forest,Natural,2004.5,1.5,IRGA,785,3.63,692.6,2.27,644.48,4.5,878.780029,1.36,48.12
3653,Wang,Temperate,Forest,Natural,2004.5,1.5,IRGA,813,3.63,692.6,2.27,644.48,4.5,878.780029,1.36,48.12
3653,Wang,Temperate,Forest,Natural,2004.5,1.5,IRGA,786,3.63,692.6,2.27,644.48,4.5,878.780029,1.36,48.12
3653,Wang,Temperate,Forest,Natural,2004.5,1.5,IRGA,781,3.63,692.6,2.27,644.48,4.5,878.780029,1.36,48.12
3653,Wang,Temperate,Forest,Natural,2004.5,1.5,IRGA,514,3.63,692.6,2.27,644.48,4.5,878.780029,1.36,48.12
3653,Wang,Temperate,Forest,Natural,2004.5,1.5,IRGA,403,3.63,692.6,2.27,644.48,4.5,878.780029,1.36,48.12
2263,Elberling,Boreal,Shrubland,Natural,2001,1,IRGA,25,-12.53,209.7,-13.53,222.56,0,27.530001,1,-12.86
4174,Zhou,Temperate,Grassland,Natural,2000,1,IRGA,787,16.37,973.6,16.39,878.56,3.8,725.030029,-0.02,95.04
4174,Zhou,Temperate,Grassland,Natural,2001,1,IRGA,700,16.52,790.2,16.39,878.56,3.8,725.030029,0.13,-88.36
4174,Zhou,Temperate,Grassland,Natural,2002,1,IRGA,800,15.57,919.2,16.39,878.56,3.8,725.030029,-0.82,40.64
4174,Zhou,Temperate,Grassland,Natural,2003,1,IRGA,825,16.34,601.5,16.39,878.56,3.8,725.030029,-0.05,-277.06
4174,Zhou,Temperate,Grassland,Natural,2004,1,IRGA,850,16.46,967.9,16.39,878.56,3.8,725.030029,0.07,89.34
4174,Zhou,Temperate,Grassland,Natural,2005,1,IRGA,875,16.51,696.8,16.39,878.56,3.8,725.030029,0.12,-181.76
3669,Wickland,Boreal,Forest,Natural,2003,1,IRGA,431,-2.17,304.7,-3.39,307.36,4.3,59.119999,1.22,-2.66
3669,Wickland,Boreal,Forest,Natural,2003,1,IRGA,378,-2.17,304.7,-3.39,307.36,4.3,59.119999,1.22,-2.66
3669,Wickland,Boreal,Forest,Natural,2003,1,IRGA,407,-2.17,304.7,-3.39,307.36,4.3,59.119999,1.22,-2.66
3148,Sulzman,Temperate,Forest,Natural,2001,1,IRGA,831,7.26,1507.2,7.68,1698.55,5,201.529999,-0.42,-191.35
3148,Sulzman,Temperate,Forest,Natural,2002,1,IRGA,727,7.15,1439.6,7.68,1698.55,5,201.529999,-0.53,-258.95
3148,Sulzman,Temperate,Forest,Natural,2003,1,IRGA,841,7.88,1805,7.68,1698.55,5,201.529999,0.2,106.45
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,1205,9.68,1808.25,9.69,2067.42,3.9,284.410004,-0.01,-259.17
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,1086,9.68,1808.25,9.69,2067.42,3.9,284.410004,-0.01,-259.17
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,1081,9.68,1808.25,9.69,2067.42,3.9,284.410004,-0.01,-259.17
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,1557,9.68,1808.25,9.69,2067.42,3.9,284.410004,-0.01,-259.17
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,2007,7.205,1473.4,7.68,1698.55,4.4,201.529999,-0.475,-225.15
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,1478,7.205,1473.4,7.68,1698.55,4.4,201.529999,-0.475,-225.15
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,2067,7.205,1473.4,7.68,1698.55,4.4,201.529999,-0.475,-225.15
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,1669,7.205,1473.4,7.68,1698.55,4.4,201.529999,-0.475,-225.15
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,482,2.98,899.55,2.98,1068.61,2.6,201.529999,0,-169.06
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,593,2.98,899.55,2.98,1068.61,2.6,201.529999,0,-169.06
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,872,2.98,899.55,2.98,1068.61,2.6,201.529999,0,-169.06
2546,Campbell,Temperate,Forest,Natural,2001.5,1,IRGA,717,2.98,899.55,2.98,1068.61,2.6,201.529999,0,-169.06
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,52,2.59,802,1.61,660.07,4.4,248.880005,0.98,141.93
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,111,2.59,802,1.61,660.07,4.4,248.880005,0.98,141.93
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,178,3.71,605.5,3.03,592,4.8,845.280029,0.68,13.5
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,101,2.59,802,1.61,660.07,4.4,248.880005,0.98,141.93
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,152,3.71,605.5,3.03,592,4.8,845.280029,0.68,13.5
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,292,3.71,605.5,3.03,592,4.8,845.280029,0.68,13.5
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,343,3.71,605.5,3.03,592,4.8,845.280029,0.68,13.5
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,285,2.59,802,1.61,660.07,4.4,248.880005,0.98,141.93
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,131,2.59,802,1.61,660.07,4.4,248.880005,0.98,141.93
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,190,3.71,605.5,3.03,592,4.8,845.280029,0.68,13.5
1116,Silvola,Boreal,Wetland,Unmanaged,1991,1,IRGA,326,3.71,605.5,3.03,592,4.8,845.280029,0.68,13.5
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,252,3.71,605.5,3.03,592,4.8,845.280029,0.68,13.5
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,551,2.59,802,1.61,660.07,4.4,248.880005,0.98,141.93
1116,Silvola,Boreal,Wetland,Natural,1991,1,IRGA,154,2.59,802,1.61,660.07,4.4,248.880005,0.98,141.93
